"att1","latitude","longitude","@id","name","hiking","address"
0.0,46.428211499999996,11.6239981,"29883798","Pael",,"Pael, Vial de la Feide, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38039, Italia"
1.0,46.4188894,11.6303351,"29884556",,,"SAT, Abstieg vom Masarè-Klettersteig, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38039, Italia"
2.0,46.4194003,11.6301868,"29884558",,,"SAT, Abstieg vom Masarè-Klettersteig, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38039, Italia"
3.0,46.4806631,11.8120886,"29916888",,,"Lezuo Belvedere, 4X (MTB), Canazei, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38032, Italia"
4.0,46.4138823,11.622769,"60959536",,,"SAT, Aufstieg zum Masarè-Klettersteig, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38039, Italia"
5.0,45.7900447,10.906858999999999,"262166503",,,"Strada di Malga Bes, malga Bes, Brentonico, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, Italia"
6.0,45.91224879999999,10.935595,"268485035",,,"MTB Downhill: The Hammer, Bolognano, Arco, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
7.0,46.0170167,11.189219099999999,"268918602","Bivacco Marzola - Vigolo Vataro","yes","Bivacco Marzola - Vigolo Vataro, Località Maso Ginepro, Altopiano della Vigolana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38034, Italia"
8.0,46.04372,11.039022099999999,"268924940",,,"Strada forestale Selva, Sant'Anna, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 66, Italia"
9.0,45.9098715,11.103318400000001,"269027257","MTB",,"MTB, , Volano, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, Italia"
10.0,46.4571905,11.6307848,"269032120",,,"546, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38039, Italia"
11.0,46.422686600000006,11.7913985,"269033825",,,"Passo San Nicolò, Kaiserjägersteig Col Ombert, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, Italia"
12.0,46.4203008,11.7673793,"269034183",,,"Strada di Rusci, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, Italia"
13.0,46.417719399999996,11.779225300000002,"269034206",,,"Strada di Rusci, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, Italia"
14.0,46.476906,11.8160029,"269039576",,,"Rifugio Baita Fredarola, 120, SR48, Livinallongo del Col di Lana, Belluno, Veneto, 38032, Italia"
15.0,46.4703761,11.8581799,"269039704",,,"Tunnel della Riciota, Canazei, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 32023, Italia"
16.0,46.257766700000005,11.645189199999999,"287670840","Quota 2240","yes","Quota 2240, Sentiero per Moregna - Giovanni Fifol, Predazzo, Comunità territoriale della Val di Fiemme, Trento, Trentino-Alto Adige/Südtirol, Italia"
17.0,46.0118534,11.196325199999999,"289629720","Bivacco Marzola","yes","Bivacco Marzola, Località Maso Nicoletti, Altopiano della Vigolana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38034, Italia"
18.0,45.888799299999995,11.1323862,"289828621",,"yes","Strada forestale Orti, Terragnolo, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38064, Italia"
19.0,46.0238513,11.1802415,"290675889","Vigolo Vattaro - Rif. Maranza","yes","Vigolo Vattaro - Rif. Maranza, 438, Altopiano della Vigolana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38034, Italia"
20.0,46.0232469,11.1812418,"290675900","Bivacco Marzola 'Raffaele Bailoni'","yes","Bivacco Marzola  Raffaele Bailoni, 438, Altopiano della Vigolana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38034, Italia"
21.0,46.4431021,11.6925925,"294111737",,,"Strada de Rancolin, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38036, Italia"
22.0,46.442206899999995,11.6930711,"294160051","Col de la Ciaure",,"12, Strada Ciadenac, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38036, Italia"
23.0,45.953579299999994,10.9348174,"296087637",,,"Bolognano, Arco, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38074, Italia"
24.0,46.436164700000006,11.7587871,"297615985",,,"Roseal, Sentiero attrezzato Lino Pederiva, Canazei, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38032, Italia"
25.0,46.429219700000004,11.731898300000001,"297616390",,,"Baita Cuz, Sentiero forestale per Lago Usel, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38036, Italia"
26.0,46.427838,11.783702900000002,"297617692",,,"Pre De Contrin, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, Italia"
27.0,46.2201069,10.8876655,"300024469",,,"Grostè express, 382, Tre Ville, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38084, Italia"
28.0,46.4584276,11.6321696,"302575934",,,"Rifugio Vajolet, 546, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38039, Italia"
29.0,46.474115000000005,11.639153199999999,"302576039",,,"Passo Principe - Grasleitenpass, E585 (via ferrata), Tiers - Tires, Comun General de Fascia, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39050, Italia"
30.0,46.4762268,11.6695817,"302578494","Passo Dona",,"Passo Dona, Laurenzisteig, Mazzin, Comun General de Fascia, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39050, Italia"
31.0,46.4806557,11.6819481,"302578588","Camerloi",,"Camerloi, Strada forestale Scofa, Mazzin, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38036, Italia"
32.0,46.463879299999995,11.684645100000001,"302580466",,,"Sentiero forestale Scofa, Mazzin, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38036, Italia"
33.0,46.450778,11.691711,"302580624",,,"San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38036, Italia"
34.0,46.4512082,11.691998,"302580633",,,"San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38036, Italia"
35.0,46.450437,11.6925631,"302580636",,,"San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38036, Italia"
36.0,46.450157399999995,11.693499699999998,"302580684","Ronch",,"Ronch, Strada de Moncion, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38036, Italia"
37.0,46.444285,11.6918045,"302580785",,,"Strada de Rancolin, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38036, Italia"
38.0,45.962756299999995,11.0116284,"307213801","La Becca","yes","La Becca, Strada forestale Maurina, Cavedine, Comunità della Valle dei Laghi, Trento, Trentino-Alto Adige/Südtirol, 38060, Italia"
39.0,45.97667020000001,11.1512764,"308828312",,"yes","Prai Alti, Scanuppia, Besenello, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, Italia"
40.0,46.1763375,11.054507000000001,"317649464",,"yes","Fai della Paganella, Comunità della Paganella, Trento, Trentino-Alto Adige/Südtirol, Italia"
41.0,46.437456899999994,11.215871,"343854064",,,"PanoramaHotel Penegal, 8, Mendelpassstraße - Strada statale del Tonale e della Mendola, Kalterer Höhe, Kaltern an der Weinstraße - Caldaro sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39052, Italia"
42.0,45.913556400000004,11.1036468,"366357186","MTB",,"MTB, Strada forestale Pelosole, Volano, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, Italia"
43.0,45.9146213,11.1016261,"366357217","MTB",,"MTB, Eremo di Santa Cecilia, Volano, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, Italia"
44.0,45.908767600000004,11.0934174,"366357394","MTB",,"MTB, Curva dei Petizzoi, Volano, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 39068, Italia"
45.0,45.9083637,11.106670300000001,"369548954","MTB",,"MTB, , Volano, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, Italia"
46.0,45.907503600000005,11.105429800000001,"369548988","MTB",,"MTB, Strada forestale Zengio de le zonte, Volano, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, Italia"
47.0,45.908022700000004,11.101871800000001,"369549527","MTB",,"MTB, , Volano, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, Italia"
48.0,46.1579416,11.0660002,"412834808","Molinel",,"Molinel, Via ai Vati, Maso Conci, Terre d'Adige, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
49.0,46.33162,11.778027,"419890920",,,"Malga Juribrutto, SP81, San Martino di Castrozza, Primiero San Martino di Castrozza, Comunità di Primiero, Trento, Trentino-Alto Adige/Südtirol, Italia"
50.0,46.351759,11.7555703,"419891121",,,"Bivacco  Jellici, E628, Moena, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38035, Italia"
51.0,46.3462777,11.733766699999999,"419891225",,,"Bivacco Sandro Redolf, Ferrata del Gronton, Moena, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38035, Italia"
52.0,45.9067406,11.1053795,"421806674","MTB",,"MTB, Strada forestale Zengio de le zonte, Volano, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, Italia"
53.0,46.053246,11.181929499999999,"424308123","Spiaz de le Patate",,"Spiaz de le Patate, Sentiero Attrezzato G. Bertotti, Salè, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38045, Italia"
54.0,46.496488799999995,11.6341504,"427618703",,,"Maximiliansteig, Tiers - Tires, Comun General de Fascia, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39050, Italia"
55.0,46.402699600000005,11.606280499999999,"432776468",,,"Hubertus, Via Carezza, Welschnofen - Nova Levante, Comun General de Fascia, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39056, Italia"
56.0,46.1764729,11.0543859,"433989736",,"yes","Villa Elvezia, Via Rolando Cembran, Fai della Paganella, Comunità della Paganella, Trento, Trentino-Alto Adige/Südtirol, Italia"
57.0,46.1634826,11.0506493,"433989928","Meriz",,"Meriz, Downhill Peter Pan, Fai della Paganella, Comunità della Paganella, Trento, Trentino-Alto Adige/Südtirol, Italia"
58.0,46.1585196,11.050270199999998,"433997484",,,"Meriz, Downhill Peter Pan, Fai della Paganella, Comunità della Paganella, Trento, Trentino-Alto Adige/Südtirol, Italia"
59.0,46.156875299999996,11.049869300000001,"433997485",,,"Meriz, Downhill Peter Pan, Fai della Paganella, Comunità della Paganella, Trento, Trentino-Alto Adige/Südtirol, Italia"
60.0,46.15660870000001,11.0487113,"433997542",,,"Meriz, Downhill Peter Pan, Fai della Paganella, Comunità della Paganella, Trento, Trentino-Alto Adige/Südtirol, Italia"
61.0,46.1526165,11.0474023,"433997543",,,"Malga di Fai, Ferrata delle Aquile, Vallelaghi, Comunità della Valle dei Laghi, Trento, Trentino-Alto Adige/Südtirol, 38018, Italia"
62.0,46.1512089,11.0455778,"433997610",,,"Rifugio Dosso Larici, Sentiero escursionistico TRE-TRE, Terre d'Adige, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38018, Italia"
63.0,46.152745,11.043612199999998,"433997611",,,"Rifugio Dosso Larici, Sentiero escursionistico TRE-TRE, Terre d'Adige, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38018, Italia"
64.0,46.1555091,11.041670800000002,"433997660",,,"Rifugio Dosso Larici, Sentiero escursionistico TRE-TRE, Terre d'Adige, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38018, Italia"
65.0,46.1501698,11.0280602,"434131940",,,"Malga Zambana, Sentiero escursionistico TRE-TRE, Terre d'Adige, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38018, Italia"
66.0,46.1501481,11.0273861,"434131943",,,"Sentiero escursionistico TRE-TRE, Terre d'Adige, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38018, Italia"
67.0,46.1645297,11.032655499999999,"434132260",,,"787, Andalo, Comunità della Paganella, Trento, Trentino-Alto Adige/Südtirol, 38018, Italia"
68.0,46.1730955,11.0405543,"434132639",,,"Sentiero escursionistico TRE-TRE, Fai della Paganella, Comunità della Paganella, Trento, Trentino-Alto Adige/Südtirol, 38018, Italia"
69.0,46.174547600000004,11.0473043,"434132671","Ex Colonia Alpina",,"Ex Colonia Alpina, Passo Santèl, Fai della Paganella, Comunità della Paganella, Trento, Trentino-Alto Adige/Südtirol, Italia"
70.0,46.4292795,11.6247394,"437381164",,,"SAT, Vial de la Feide, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38039, Italia"
71.0,46.0968341,10.9039571,"440669848",,,"Pont de le Scale, San Lorenzo Dorsino, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38078, Italia"
72.0,46.0874008,10.904751199999998,"440669976",,,"San Lorenzo Dorsino, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38078, Italia"
73.0,46.1021135,10.9176619,"440669978",,,"Strada forestale Prada, San Lorenzo Dorsino, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38078, Italia"
74.0,46.103379,10.9209017,"440669980",,,"Strada forestale Prada, San Lorenzo Dorsino, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38078, Italia"
75.0,46.087694799999994,10.909953699999999,"440681737",,,"San Lorenzo Dorsino, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38078, Italia"
76.0,46.0887266,10.911074300000001,"440681739",,,"Alpenrose, Strada forestale Prada, San Lorenzo Dorsino, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38078, Italia"
77.0,46.0886766,10.911286500000001,"440681741",,,"Alpenrose, Strada forestale Prada, San Lorenzo Dorsino, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38078, Italia"
78.0,46.0971783,10.9205086,"440681752",,,"Strada forestale Prada, San Lorenzo Dorsino, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38078, Italia"
79.0,46.2061085,10.869833300000002,"443861259",,"yes","Malga Vallesinella di Sopra, Sentiero delle Cascate di Vallesinella, Tre Ville, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38095, Italia"
80.0,46.2053313,11.182530999999999,"447883790",,,"Pian della Cros, SP58, Giovo, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38041, Italia"
81.0,46.209469899999995,11.1962714,"447885743",,,"Biotopo Lagabrun, Lago Santo, Cembra Lisignago, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, Italia"
82.0,46.203118100000005,11.1988457,"447898757",,,"Biotopo Lagabrun, Lago Santo, Cembra Lisignago, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, Italia"
83.0,46.2010085,11.1959916,"447898759",,,"Lago Santo, Cembra Lisignago, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, Italia"
84.0,46.2058179,11.196943899999999,"447898792",,,"Biotopo Lagabrun, Lago Santo, Cembra Lisignago, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, Italia"
85.0,46.20483370000001,11.1983004,"447898794",,,"Biotopo Lagabrun, Lago Santo, Cembra Lisignago, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, Italia"
86.0,46.2157321,11.194633,"447910524",,,"Azienda Agricola Sauch, 1, 1 - Sauch, Giovo, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, 38030, Italia"
87.0,46.2159932,11.1954215,"447910527",,,"1 - Sauch, Giovo, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, Italia"
88.0,46.2161019,11.196947,"447910528",,,"1 - Sauch, Giovo, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, Italia"
89.0,46.2197513,11.204195,"447910702",,,"1 - Sauch, Cembra Lisignago, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, 39040, Italia"
90.0,46.2210245,11.204486,"447910703",,,"1 - Sauch, Cembra Lisignago, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, 39040, Italia"
91.0,46.4725477,11.8684933,"448098233",,,"Rifugio Luigi Gorza, Bindelweg, Canazei, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 32023, Italia"
92.0,45.9465649,11.184677800000001,"449724228","Pralongo - Cornetto di Folgaria","yes","Cornetto di Folgaria, Sentiero Val di Gola, Besenello, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38064, Italia"
93.0,45.9446034,11.1858861,"449724245","Passo Sommo","yes","Passo Sommo, Sentiero Panoramico, Folgaria, Magnifica Comunità degli Altipiani Cimbri, Trento, Trentino-Alto Adige/Südtirol, 38064, Italia"
