@id,@lat,@lon,name
333785005,46.3014623,10.8099610,
474985898,46.0746505,11.2197156,Ex Villa Rosa
558635245,46.0095327,11.3041043,APSS Poliambulatorio di Levico Terme
2503395889,46.1874416,11.2585751,Guardia Medica
2590418162,46.2747699,11.0490774,Guardia Medica
2590424266,46.0571860,11.1317864,Guardia Medica
2590424734,45.8511471,10.9813247,Guardia Medica
2590431393,46.2130371,11.0946842,Guardia Medica
2590432394,46.3203409,11.0661113,Guardia Medica
2590602528,46.1279060,11.2438352,Poliambulatorio comunale - Medici Generici - Pediatri - Guardia Medica
3374682876,46.3215842,11.0952361,Medico di base
3637095818,46.0705601,11.0579763,Studio Odontoiatrico
5252877027,45.9190770,10.8751140,Pronto Soccorso Ospedale di Arco
5252885882,46.2883679,11.4558986,Pronto Soccorso Ospedale di Fiemme
5252897995,46.0568308,11.4632511,"Pronto Soccorso Ospedale ""San Lorenzo"""
5252902552,46.3615563,11.0324389,"Pronto Soccorso Ospedale ""Valli del Noce"""
5252925702,46.0422014,10.7245566,Pronto Soccorso Ospedale Tione di Trento
5252938194,45.8811734,11.0401616,Pronto Soccorso Ospedale Santa Maria del Carmine
5252950582,46.0570296,11.1330573,"Pronto Soccorso Ospedale ""Santa Chiara"""
5840514319,46.2593713,10.5854065,
6767166244,45.8955723,10.7210169,

